Date;Turnover. Unadjusted figures (NOK million);Turnover. Unadjusted figures (2005=100);Turnover. Seasonally adjusted figures (2005=100);Three-month moving average, seasonally adjusted (2005=100);Turnover. Calendar adjusted figures (2005=100);Turnover. Smoothed seasonally adjusted figures (2005=100)
2022M02;94270;227,6;232,1;230,9;228,0;230,5
2022M03;121642;293,7;266,7;240,2;285,8;261,1
2022M04;99642;240,6;257,1;252,0;242,5;259,9
2022M05;96317;232,5;251,8;258,5;233,5;258,2
2022M06;101036;243,9;255,3;254,7;241,9;256,0
2022M07;86943;209,9;261,4;256,2;212,8;254,0
2022M08;125884;303,9;328,4;281,7;299,2;252,2
2022M09;131324;317,1;331,5;307,1;313,5;250,5
2022M10;101678;245,5;238,4;299,4;248,8;248,6
2022M11;119193;287,8;256,1;275,3;284,6;246,5
2022M12;162060;391,3;318,7;271,1;411,5;244,5
2023M01;95294;230,1;239,4;271,4;231,5;242,5
2023M02;102812;248,2;250,5;269,5;248,5;240,6
2023M03;110198;266,1;243,0;244,3;258,8;238,5
2023M04;89187;215,3;235,4;243,0;221,7;236,3
2023M05;88158;212,8;226,0;234,8;210,5;234,4
2023M06;99805;241,0;240,8;234,1;237,1;232,9
2023M07;71960;173,7;210,1;225,6;175,8;231,7
